                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.59964,                0.34227,                0.97788,                0.97846,                0.89655,                  0.995,                0.86593,                0.54979,                0.31986,                0.91512,             0.00099036,             0.00099036,             0.00099036
                    126,                0.64172,                0.33381,                 1.0205,                0.81983,                0.89286,                0.99007,                0.85653,                0.60696,                0.55529,                0.93888,             0.00098486,             0.00098486,             0.00098486
                    127,                0.55055,                0.31876,                0.96546,                0.74949,                0.86392,                 0.9796,                0.86525,                 0.7127,                0.60307,                 1.0155,             0.00097936,             0.00097936,             0.00097936
                    128,                  0.579,                 0.3166,                0.95864,                0.74861,                0.89403,                0.75346,                0.65263,                0.66026,                0.60161,                0.95809,             0.00097386,             0.00097386,             0.00097386
                    129,                0.60093,                 0.4113,                0.94982,                0.74731,                0.89399,                0.74625,                0.64096,                0.63855,                0.57615,                0.95069,             0.00096836,             0.00096836,             0.00096836
                    130,                0.60473,                0.32449,                0.98872,                0.74201,                0.89469,                0.73951,                0.64467,                0.66265,                0.60362,                 0.9588,             0.00096286,             0.00096286,             0.00096286
                    131,                0.57462,                0.30652,                0.96023,                0.74569,                0.89286,                0.65527,                0.57368,                0.60132,                0.59444,                0.92458,             0.00095736,             0.00095736,             0.00095736
                    132,                0.60628,                0.30815,                0.97414,                 0.6799,                0.82317,                0.64491,                0.55885,                0.55091,                0.78731,                0.90868,             0.00095186,             0.00095186,             0.00095186
                    133,                0.55497,                0.31391,                0.94483,                0.66279,                0.89221,                0.64448,                0.55131,                0.53309,                0.70396,                0.90116,             0.00094636,             0.00094636,             0.00094636
                    134,                0.57611,                0.30758,                0.96301,                0.99457,                      1,                  0.995,                0.85017,                0.59049,                 0.2781,                0.91334,             0.00094085,             0.00094085,             0.00094085
                    135,                0.55499,                0.28545,                0.92743,                0.94324,                0.94678,                  0.995,                0.84389,                 0.6478,                0.32707,                 0.9341,             0.00093535,             0.00093535,             0.00093535
                    136,                0.57387,                 0.3039,                0.97891,                0.99452,                      1,                  0.995,                0.86192,                 0.5462,                0.24667,                0.89878,             0.00092985,             0.00092985,             0.00092985
                    137,                0.56549,                0.29488,                 0.9443,                0.99508,                      1,                  0.995,                0.88419,                 0.5615,                0.26019,                0.89971,             0.00092435,             0.00092435,             0.00092435
                    138,                0.53893,                0.28856,                0.94968,                0.96249,                      1,                  0.995,                0.89655,                 0.5629,                0.30386,                0.92809,             0.00091885,             0.00091885,             0.00091885
                    139,                0.57552,                0.30807,                0.97189,                 0.7435,                0.89286,                0.72772,                0.63446,                0.56103,                0.60459,                0.93018,             0.00091335,             0.00091335,             0.00091335
                    140,                0.56754,                0.30844,                0.96773,                0.53194,                0.78571,                0.60082,                0.51813,                0.68789,                 1.2259,                0.97017,             0.00090785,             0.00090785,             0.00090785
                    141,                0.61332,                0.32391,                0.99187,                0.73486,                0.87963,                0.71805,                0.63169,                0.64725,                0.65747,                0.96741,             0.00090235,             0.00090235,             0.00090235
                    142,                0.53873,                0.30637,                0.94394,                0.87341,                0.90434,                  0.995,                0.87899,                0.58401,                0.36117,                0.93762,             0.00089685,             0.00089685,             0.00089685
                    143,                0.55455,                0.31381,                0.95576,                0.96635,                0.94809,                  0.995,                0.84787,                0.57238,                0.35783,                0.93058,             0.00089134,             0.00089134,             0.00089134
